Date,Number Of Warnings
2022-05-28,684
2022-05-28,684
2022-05-28,684
2022-05-28,684
2022-05-28,684
2022-05-28,684
2022-07-06,686
2022-07-06,686
2022-07-10,696
2022-07-10,696
2022-07-10,696
2022-07-10,696
2022-07-10,696
2022-09-04,706
2022-09-04,706
2022-12-17,768
2023-01-29,774
2023-01-29,774
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-04-16,802
2023-04-16,802
2023-10-22,836
2023-10-22,836
2023-10-22,836
2023-10-22,836
2023-10-29,894
2024-02-04,0
2024-02-04,0
2024-02-04,0
2024-02-04,887
