Date,Number Of Warnings
2022-04-04,645
2022-04-18,646
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-05-29,690
2022-09-01,531
2022-09-01,531
2022-09-01,720
2022-09-01,720
2022-09-01,720
2022-09-01,720
2022-09-01,720
2022-09-01,718
2022-09-01,718
2022-09-03,704
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,776
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-03-12,777
2023-04-16,802
2023-08-19,919
2023-08-19,919
2023-10-22,836
2023-10-22,836
2023-10-22,836
2023-10-22,836
2023-10-22,836
2023-10-22,836
2024-01-14,891
